Action,3.158532929451069,1175
Adventure,3.1687090625255814,707
Animation,3.1758854560200147,223
Comedy,3.1370494677399545,2113
Crime,3.162583937888233,907
Documentary,3.074235609323983,503
Drama,3.1391216242914495,3724
Family,3.1569054919202824,386
Fantasy,3.1429135219007,463
Foreign,3.1139858344079125,271
History,3.1187910458495405,306
Horror,3.134020262392475,723
Music,3.1890477821347667,248
Mystery,3.148769392655547,475
Romance,3.156277701839364,1206
Science Fiction,3.1571636839139865,593
TV Movie,3.1481180692209967,87
Thriller,3.14828174816609,1427
War,3.1146633826061425,231
Western,3.214060718187101,185
